staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
53,0.5,1.5,55.89408250013366,,55.87798919994384,55.89408250013366,56.37763989996165,56.37763989996165,56.393571299966425,56.67771319998428,56.861493499949574,right,1.5,1,1,0.4820596999488771,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
54,0.5,1.5,56.877396900206804,,56.86168730026111,56.877396900206804,57.376742199994624,57.376742199994624,57.393469400238246,57.6763650001958,57.87729600025341,right,1.5,1,1,0.4911890998482704,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
55,0.5,1.0,57.893208499997854,,57.87747889989987,57.893208499997854,58.39343240018934,58.39343240018934,58.39343240018934,58.69274750025943,58.894425600301474,left,-1.0,0,0,0.48501270031556487,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
56,0.5,1.5,58.90929639991373,,58.89463680004701,58.90929639991373,59.41070879995823,59.41070879995823,59.41070879995823,59.72591480007395,59.97621260024607,left,-1.5,1,1,0.5631357999518514,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
57,0.5,1.5,59.99247090006247,,59.97639989992604,59.99247090006247,60.47587400022894,60.47587400022894,60.493050100281835,60.77593060024083,60.97706090006977,right,1.5,0,0,0.4838423999026418,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
58,0.5,2.0,60.99291400006041,,60.97733350005001,60.99291400006041,61.49198540020734,61.49198540020734,61.49198540020734,61.79188050003722,62.076094100251794,right,2.0,0,0,0.5762895997613668,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
59,0.5,2.5,62.09171639988199,,62.076297000050545,62.09171639988199,62.590815499890596,62.590815499890596,62.590815499890596,62.89051289996132,63.00894659990445,left,-2.5,0,0,0.4167448999360204,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
60,0.5,3.0,63.024220400024205,,63.009188800118864,63.024220400024205,63.525320100132376,63.525320100132376,63.525320100132376,63.84017390012741,64.12498919991776,right,3.0,0,0,0.5877352999523282,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
61,0.5,3.5,64.14042710000649,,64.1251638000831,64.14042710000649,64.64072370016947,64.64072370016947,64.64072370016947,64.94023959990591,65.05766119994223,right,3.5,1,1,0.4155202000401914,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
62,0.5,3.5,65.07346779992804,,65.05783799989149,65.07346779992804,65.57404350023717,65.57404350023717,65.57404350023717,65.87267250008881,66.05674700019881,left,-3.5,1,1,0.4769395003095269,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
63,0.5,3.5,66.07322810031474,,66.0569147001952,66.07322810031474,66.55600719992071,66.55600719992071,66.57297650026157,66.85595500003546,67.05699429986998,left,-3.5,0,0,0.4837195002473891,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
64,0.5,4.0,67.07302000001073,,67.05719130020589,67.07302000001073,67.57252590032294,67.57252590032294,67.57252590032294,67.87202470004559,68.05760869989172,right,4.0,1,1,0.48109190026298165,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
65,0.5,4.0,68.07262880029157,,68.05778399994597,68.07262880029157,68.57198400003836,68.57198400003836,68.58969529997557,68.87240680027753,69.05580889992416,left,-4.0,1,1,0.47497030021622777,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
66,0.5,4.0,69.07184279989451,,69.05599809996784,69.07184279989451,69.57176379999146,69.57176379999146,69.57176379999146,69.87216840032488,69.99008230026811,right,4.0,1,1,0.4092887002043426,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
67,0.5,3.5,70.00518300011754,,69.99026399990544,70.00518300011754,70.50531279994175,70.50531279994175,70.50531279994175,70.8207475002855,70.95457410020754,right,3.5,1,1,0.4442888000048697,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
68,0.5,3.5,70.97066080011427,,70.95482750004157,70.97066080011427,71.47056580008939,71.47056580008939,71.47056580008939,71.77020969986916,71.95512080006301,right,3.5,1,1,0.47583819972351193,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
69,0.5,3.5,71.9701483999379,,71.9553328002803,71.9701483999379,72.45418390026316,72.45418390026316,72.47077800007537,72.75365910027176,72.92094510002062,right,3.5,1,1,0.45767090003937483,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
70,0.5,3.0,72.93659349996597,,72.9211149001494,72.93659349996597,73.42010160023347,73.42010160023347,73.43641930026934,73.72036990011111,74.05363309988752,left,-3.0,1,1,0.6310777002945542,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
